airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,class_,price
Multiple Carriers,2019-04-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,Economy,6093
Air India,2019-05-09,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No Info,Economy,14214
Spicejet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,Economy,3873
Indigo,2019-05-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,Economy,4823
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,Economy,3383
Indigo,2019-06-27,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,Economy,6412
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,Economy,10844
Vistara,2019-04-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,Economy,5613
Jet Airways,2019-05-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,Economy,15129
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,Economy,6722
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,Economy,7888
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,In-flight meal not included,Economy,11134
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,Economy,10844
Air Asia,2019-05-15,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,Economy,4409
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,Economy,8085
Jet Airways,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,Economy,12242
Air India,2019-06-12,Kolkata,Banglore,07:00:00,16:15:00,555,1.0,No Info,Economy,11936
Indigo,2019-06-01,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,Economy,7048
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,Economy,4050
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,Economy,8016
Jet Airways,2019-04-06,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,Economy,5406
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,Economy,3873
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:00:00,16:50:00,1610,1.0,No Info,Economy,19595
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,No Info,Economy,12273
Jet Airways,2019-05-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,Economy,15554
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,Economy,14151
Indigo,2019-04-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,Economy,4423
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,Economy,10844
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,Economy,9899
Jet Airways,2019-06-06,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,Economy,14237
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:20:00,1530,2.0,No Info,Economy,7893
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,Economy,9663
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,Economy,13587
Jet Airways,2019-04-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,Economy,7229
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,Economy,6007
Multiple Carriers,2019-05-27,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No Info,Economy,9646
Spicejet,2019-05-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,Economy,2017
Indigo,2019-05-15,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,Economy,6027
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,Economy,4995
Jet Airways,2019-06-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,Economy,8016
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,Economy,9345
Spicejet,2019-03-27,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,Economy,3847
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,No Info,Economy,19225
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,Economy,10844
Goair,2019-03-09,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No Info,Economy,8422
Indigo,2019-05-21,Delhi,Cochin,04:55:00,11:50:00,415,1.0,No Info,Economy,6794
Indigo,2019-05-15,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,Economy,6442
Air Asia,2019-03-24,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,Economy,5964
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,In-flight meal not included,Economy,6540
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,Economy,9646
Indigo,2019-06-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,Economy,4823
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,Economy,13344
Air India,2019-06-03,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,Economy,12173
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,Economy,10262
Air India,2019-03-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,Economy,6482
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,Economy,7408
Air Asia,2019-04-09,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,Economy,4107
Air India,2019-03-21,Banglore,New Delhi,08:15:00,18:30:00,615,1.0,No Info,Economy,4943
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,Economy,14781
Indigo,2019-05-09,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,Economy,6818
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,Economy,14571
Air India,2019-06-12,Kolkata,Banglore,17:30:00,13:45:00,1215,2.0,No Info,Economy,12224
Vistara,2019-05-21,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,Economy,4668
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,Economy,12373
Air India,2019-05-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,Economy,8425
Indigo,2019-05-15,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,Economy,3943
Indigo,2019-04-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,Economy,2227
Indigo,2019-03-21,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No Info,Economy,6218
Vistara,2019-04-21,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,Economy,5613
Spicejet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,Economy,4377
Goair,2019-03-03,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,Economy,22794
Jet Airways,2019-05-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,Economy,7229
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,Economy,11701
Air India,2019-05-01,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,Economy,10991
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,Economy,5932
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,Economy,16289
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,07:25:00,1495,2.0,In-flight meal not included,Economy,10118
Multiple Carriers,2019-06-24,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,Economy,7198
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,Economy,16079
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,In-flight meal not included,Economy,11150
Indigo,2019-06-09,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,Economy,6206
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,Economy,3687
Multiple Carriers,2019-03-27,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,Economy,5883
Air India,2019-06-12,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,Economy,8669
Air India,2019-05-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,Economy,3100
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,Economy,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,18:50:00,485,1.0,No Info,Economy,11622
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,Economy,16289
Spicejet,2019-03-18,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No check-in baggage included,Economy,4273
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,Economy,9103
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,Economy,10262
Multiple Carriers,2019-06-01,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,Economy,9646
Spicejet,2019-04-03,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,Economy,4611
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,Economy,11622
Air India,2019-05-18,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,Economy,13243
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,Economy,8586
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,Economy,5177
Air India,2019-06-12,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,Economy,8372
Spicejet,2019-05-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,Economy,3597
Air India,2019-03-12,Banglore,New Delhi,08:50:00,09:25:00,1475,2.0,No Info,Economy,12725
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,Economy,5406
Air India,2019-05-27,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,Economy,5510
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,No Info,Economy,13759
Air India,2019-03-21,Delhi,Cochin,06:50:00,19:15:00,2185,2.0,No Info,Economy,10756
Indigo,2019-04-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,Economy,4804
Spicejet,2019-05-18,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,Economy,7317
Spicejet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,Economy,3873
Jet Airways,2019-06-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,Economy,4050
Spicejet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,Economy,2647
Multiple Carriers,2019-05-18,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,Economy,9595
Air India,2019-04-15,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,Economy,6121
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No Info,Economy,26890
Indigo,2019-03-09,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,Economy,6674
Vistara,2019-05-03,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,Economy,3687
Vistara,2019-06-09,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,Economy,4878
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,Economy,9663
Air India,2019-03-06,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No Info,Economy,17327
Multiple Carriers,2019-03-27,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,Economy,6953
Indigo,2019-03-09,Banglore,New Delhi,15:40:00,20:35:00,295,1.0,No Info,Economy,5226
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,Economy,9134
Indigo,2019-06-12,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,Economy,5058
Indigo,2019-03-21,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,Economy,6860
Air India,2019-03-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,Economy,4435
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,Economy,10844
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,Economy,4804
Air India,2019-06-09,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,Economy,8576
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,16:45:00,480,1.0,No Info,Economy,12080
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,Economy,7060
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,04:25:00,655,1.0,No Info,Economy,14714
Indigo,2019-06-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,Economy,6093
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,No Info,Economy,12347
Jet Airways,2019-06-27,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,Economy,10262
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,Economy,3597
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,Economy,7229
Multiple Carriers,2019-03-27,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,Economy,6673
Spicejet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,Economy,3841
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No Info,Economy,12080
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,Economy,13029
Air India,2019-03-01,Banglore,New Delhi,10:30:00,17:45:00,435,2.0,Change airports,Economy,17461
Air India,2019-06-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,Economy,5201
Indigo,2019-06-12,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,Economy,6442
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,Economy,7652
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,Economy,7485
Jet Airways,2019-05-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,Economy,4030
Air India,2019-05-18,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,Economy,12392
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,Economy,12681
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,Economy,4340
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No Info,Economy,17261
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,1040,3.0,No Info,Economy,15145
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,Economy,10262
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,Economy,8784
Jet Airways,2019-04-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,Economy,7229
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,Economy,13727
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:25:00,2315,2.0,No Info,Economy,25430
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,Economy,12121
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,Economy,12681
Vistara,2019-06-12,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,Economy,4668
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,Economy,8073
Indigo,2019-05-09,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No Info,Economy,4864
Air India,2019-03-12,Banglore,New Delhi,00:30:00,08:45:00,495,1.0,No Info,Economy,13492
Indigo,2019-03-06,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,Economy,7673
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,Economy,14388
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,Economy,9646
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,Economy,7191
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,Economy,13014
Air Asia,2019-05-01,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,Economy,6857
Air India,2019-03-06,Mumbai,Hyderabad,17:20:00,14:50:00,150,2.0,No Info,Economy,11972
Air India,2019-05-06,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,Economy,10203
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,Economy,13029
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,Economy,9663
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,Economy,16736
Indigo,2019-05-15,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,Economy,2227
Indigo,2019-05-21,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,Economy,2754
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,Economy,12384
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,Economy,7064
Air India,2019-05-21,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,Economy,11096
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,Economy,8907
Air India,2019-03-03,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,Economy,9400
Multiple Carriers,2019-05-18,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,Economy,7670
Goair,2019-06-01,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,Economy,5457
Air Asia,2019-03-03,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,Economy,6477
Air Asia,2019-04-24,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,Economy,4409
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,01:30:00,830,1.0,In-flight meal not included,Economy,5797
Jet Airways,2019-05-06,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,Economy,7229
Indigo,2019-03-21,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,Economy,2754
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,23:00:00,680,1.0,No Info,Economy,16736
Jet Airways,2019-04-09,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,Economy,9483
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,Economy,14300
Indigo,2019-05-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,Economy,4823
Multiple Carriers,2019-04-09,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No Info,Economy,6601
Air India,2019-03-03,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,Economy,10810
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,Economy,6883
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No Info,Economy,13941
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,Economy,7832
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,Economy,12373
Spicejet,2019-03-27,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,Economy,1759
Multiple Carriers,2019-06-06,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,Economy,7005
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,Economy,10262
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,Economy,10844
Indigo,2019-05-06,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,Economy,4823
Multiple Carriers,2019-06-06,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,Economy,13377
Indigo,2019-05-27,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,Economy,2227
Spicejet,2019-03-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,Economy,6300
Vistara,2019-06-03,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,Economy,4668
Spicejet,2019-06-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,Economy,3873
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,Economy,10851
Indigo,2019-03-18,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,Economy,4049
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1.0,In-flight meal not included,Economy,5963
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,Economy,8610
Indigo,2019-05-21,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,Economy,5054
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2.0,No Info,Economy,13253
Air India,2019-06-09,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No Info,Economy,8372
Air India,2019-04-15,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,Economy,6121
Air Asia,2019-05-09,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,Economy,3383
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,Economy,12507
Multiple Carriers,2019-06-01,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,Economy,13377
Spicejet,2019-06-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,Economy,4423
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,Economy,5894
Spicejet,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,Economy,3543
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,Economy,16079
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,Economy,7485
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,Economy,8040
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,Economy,7648
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,Economy,13555
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,Economy,9187
Air India,2019-03-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,Economy,7934
Spicejet,2019-05-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,Economy,3919
Jet Airways,2019-06-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,Economy,5769
Indigo,2019-05-12,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,Economy,4804
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,Economy,7064
Jet Airways,2019-03-09,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,Economy,16289
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,Economy,4775
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,No Info,Economy,19225
Air India,2019-05-15,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,Economy,10651
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,Economy,14323
Indigo,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,Economy,6416
Indigo,2019-06-27,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,Economy,5054
